@relation 'AlturaOla-weka.filters.unsupervised.attribute.MathExpression-E100*A-R1-10,12-15-unset-class-temporarily-weka.filters.unsupervised.attribute.MathExpression-EA-273.15-R2-12-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.InterquartileRange-R1-8-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.InterquartileRange-R1-8-O1.5-E2.0-weka.filters.unsupervised.attribute.Remove-R10'

@attribute pres numeric
@attribute vwnd numeric
@attribute WDIR numeric
@attribute GST numeric
@attribute APD numeric
@attribute ATMP numeric
@attribute WTMP numeric
@attribute DEWP numeric
@attribute Class_WVHT {Baja,Media,Moderada,MuyAlta}
@attribute ExtremeValue {no,yes}

@data
99890,4.7,176,8.9,6.46,3.8,-266.35,-272.95,Moderada,no
100410,5.3,246,6.4,6.16,4.1,-266.35,-279.45,Moderada,yes
100660,4.600001,181,8.6,6.59,4.7,-266.45,-270.65,Media,no
100900,5,189,7.1,6.12,5.5,-266.45,-271.55,Media,no
101070,7.700002,143,8.7,7.040209,6.4,-266.45,-270.75,Moderada,no
100890,7,124,13.8,5.8,6.7,-266.35,-268.75,Moderada,no
100540,8.8,116,17.3,5.76,6.4,-266.45,-269.65,MuyAlta,no
99970,6.300002,118,18.3,7.51,5.9,-266.45,-269.65,MuyAlta,no
99130,4.8,105,17.3,7.86,6.7,-266.45,-267.65,MuyAlta,no
98910,7.9,147,7.7,8.31,7.1,-266.45,-266.75,MuyAlta,no
99430,12.500002,201,12.2,8.01,7.2,-266.45,-267.75,MuyAlta,no
100050,9.100001,168,7.5,8.32,6.8,-266.45,-266.95,MuyAlta,no
100270,4.2,149,5.3,8.48,6.5,-266.45,-267.15,Moderada,no
100260,0.1,98,3.7,8.26,6.5,-266.55,-266.95,Moderada,no
100220,-2.599998,59,4.4,8.17,6.1,-266.55,-267.35,Moderada,no
100050,-5.699998,52,7.1,8.72,6.2,-266.55,-267.15,Moderada,no
99730,-6.699998,20,14.5,6.78,6.1,-266.45,-267.35,Media,no
99180,-3.8,53,10.3,6.03,6.1,-266.55,-267.45,Media,no
98900,5.900002,193,4.8,7.04,6.6,-266.45,-266.85,Moderada,no
99140,11.6,193,13.6,5.76,6.8,-266.45,-267.35,Moderada,no
99770,17.100002,178,12.9,6.38,7,-266.65,-267.55,Moderada,no
100480,15.800001,207,14.4,6.62,6.9,-266.55,-267.45,MuyAlta,no
101120,16.200001,209,15.5,7.32,7,-266.75,-270.25,Moderada,no
101770,9.200002,193,9.8,6.81,6.8,-266.75,-268.35,Moderada,no
102340,4.9,225,8.4,6.36,6.8,-266.65,-269.25,Media,no
102610,1.300002,229,4,6.84,6.4,-266.65,-270.75,Moderada,no
102550,1.700001,101,8.2,6.93,6.4,-266.65,-269.15,Moderada,no
101990,4.200002,106,15.9,5.5,6.6,-266.35,-268.25,Moderada,no
101590,12.800001,113,17.6,5.85,7.6,-266.75,-267.25,MuyAlta,no
101180,14.800001,128,19.3,7.24,7.6,-266.55,-266.85,MuyAlta,no
100880,17.600002,132,18.6,7.96,7.5,-266.35,-266.55,MuyAlta,no
100700,18.100002,148,18.6,7.99,8.2,-266.35,-266.75,MuyAlta,no
101130,9.5,187,10.6,8.59,7.7,-266.35,-265.95,MuyAlta,no
101570,1.100002,255,6.4,8.76,6.7,-266.25,-270.05,MuyAlta,no
101600,-1.9,51,3.7,8.43,6.5,-266.35,-270.75,Moderada,no
101220,-5.999999,59,9.8,8.09,6,-266.35,-270.15,Moderada,no
100580,-3,22,12.6,6.9,5.8,-266.35,-268.05,Moderada,no
100280,-3.5,14,5.7,7.03,6.4,-266.35,-267.25,Moderada,no
100290,-3.8,338,13.9,5.99,6,-266.35,-267.75,Moderada,no
100630,-4.9,308,14.7,6.03,6.2,-266.35,-270.35,Moderada,no
101120,-3.499999,290,14.3,6,5.5,-266.35,-270.75,Moderada,no
101660,-1.499998,275,11.7,6.07,6.1,-266.35,-270.05,Media,no
102000,0.100002,274,8.7,5.85,6.1,-266.35,-271.75,Media,no
102230,0.8,274,5.6,6.3,6.1,-266.45,-270.95,Media,no
102270,3.800002,226,2.8,5.95,6.8,-266.35,-271.75,Baja,no
102150,3.9,109,8.3,6.06,6.2,-266.35,-270.45,Media,no
101810,6.2,111,15.1,4.96,6.2,-266.75,-270.55,Moderada,no
101540,5.4,106,18.2,5.98,6.8,-266.55,-268.95,MuyAlta,no
101360,7.900002,111,19.1,6.72,7.1,-266.65,-267.85,MuyAlta,no
101370,10.900002,121,18.4,6.63,7.5,-266.75,-266.45,Moderada,no
101480,12.500002,143,14,6.5,7.8,-266.65,-265.95,Moderada,no
101480,12.4,138,14.4,6.37,7.8,-266.65,-265.95,Moderada,no
101470,13.200002,159,12.9,6.46,7.9,-266.55,-265.75,Moderada,no
101940,9.600001,173,7.7,6.87,6.9,-266.55,-266.55,Moderada,no
102010,5.6,156,3.1,6.86,6.8,-266.45,-266.55,Moderada,no
101950,6.200002,155,6.6,7.17,7,-266.45,-266.35,Media,no
101760,10.200002,168,10.9,6.41,7.4,-266.45,-265.95,Moderada,no
101910,8.700003,230,13.2,5.98,7.1,-266.45,-266.35,Moderada,no
102280,2.600002,234,5.7,6.5,6.6,-266.55,-268.15,Media,no
102590,-0.599997,208,8,6.71,6.5,-266.55,-267.75,Media,no
102810,1.3,235,7.3,6.43,6.2,-266.35,-268.45,Media,no
103010,0.8,298,3.9,6.56,5.4,-266.35,-268.75,Media,no
103110,2.8,178,2.4,6.26,4.2,-266.35,-269.75,Media,no
102910,6.2,122,5.8,6.84,4.3,-266.35,-269.95,Media,no
102380,7,121,11.8,5.07,6.1,-266.35,-269.25,Media,no
101850,8.200002,119,16.8,5.41,6.2,-266.35,-268.85,Moderada,no
101750,8.500002,123,12.3,6.38,6.5,-266.35,-267.15,Moderada,no
101560,6.3,154,5.5,6.7,6.6,-266.35,-266.85,Moderada,no
101480,-1.3,99,2.4,6.86,6.7,-266.35,-266.75,Media,no
101810,-8,14,6.4,6.95,6.5,-266.35,-266.85,Moderada,no
102350,-13.5,36,12.4,5.82,6.5,-266.45,-267.95,Media,no
102860,-12.8,12,9.4,5.97,6.7,-266.45,-268.85,Media,no
103170,-10.2,340,9.8,5.48,5.8,-266.45,-271.55,Media,no
103360,-7.9,333,7.1,5.6,5.5,-266.45,-272.75,Baja,no
103360,-6.3,312,7.3,5.22,5.3,-266.45,-271.15,Baja,no
103360,-5.2,297,6.2,5.48,4.8,-266.55,-271.35,Baja,no
103310,-1.9,294,4.2,5.52,4.8,-266.45,-271.45,Baja,no
103250,0.2,268,5.3,5.99,4,-266.45,-272.05,Baja,no
103150,4.1,237,6.7,4.68,4.6,-266.45,-271.55,Baja,no
103040,5.900002,209,8.4,4.15,6,-266.45,-267.95,Baja,no
102890,7.100003,225,9.2,4.51,6.8,-266.45,-266.85,Media,no
102760,4,245,10.4,4.87,6.9,-266.45,-266.55,Media,no
102900,-2.599998,295,7.3,4.81,6.6,-266.45,-266.85,Baja,no
103040,-4.199997,337,5.6,5.01,5.8,-266.45,-267.65,Baja,no
103180,-1.099998,61,3.6,5.64,5.2,-266.25,-268.45,Baja,no
103050,1.500003,114,6,5.7,5.2,-266.25,-268.25,Baja,no
102780,4.000003,126,8.5,4.48,5.3,-266.45,-268.15,Baja,no
102430,8.900002,132,10.5,4.33,5.9,-266.45,-267.75,Media,no
102040,9.9,140,11.2,4.54,6.5,-266.55,-267.35,Media,no
101990,7.800003,237,10.9,5.35,6.3,-266.55,-267.25,Media,no
102240,4.800002,250,9.2,5.73,6.9,-266.55,-268.25,Media,no
102320,4.3,223,7.6,5.8,6.1,-266.45,-268.15,Media,no
102230,6.7,195,4.3,6.35,5,-266.45,-268.75,Media,no
101790,9.2,153,8.9,5.55,5.8,-266.45,-267.95,Media,no
101520,9.600001,177,9,5.38,6.5,-266.45,-267.35,Media,no
101410,6.7,233,12.4,5.29,6.1,-266.45,-268.95,Media,no
101360,9,235,8.7,5.7,5.9,-266.15,-270.45,Media,no
101140,8.700002,191,9.6,5.64,5.9,-266.15,-269.35,Baja,no
100890,6.500001,206,6.2,5.46,4.7,-266.15,-270.45,Media,no
101050,3.700001,8,0.6,6.26,5.2,-266.15,-270.95,Media,no
101480,2.400002,274,5.4,6.84,6.4,-266.05,-270.95,Media,no
102010,2.500001,227,4.6,6.36,6.2,-266.15,-272.75,Baja,no
102380,2.600002,176,3.6,6.66,6.1,-266.25,-271.35,Baja,no
102610,0.8,178,2.3,6.18,5.2,-266.15,-268.85,Baja,no
102690,1.5,122,4.9,7.39,6.5,-265.95,-269.35,Baja,no
102610,2.1,127,6.3,5.91,6.6,-266.05,-268.05,Baja,no
102540,3,143,7.3,6.14,6.7,-266.15,-266.85,Media,no
102330,5.7,165,4.7,6.14,6.8,-266.15,-266.65,Media,no
102160,4.600001,223,5.1,9.04,7,-266.05,-266.45,Media,no
102130,2.500001,246,7.6,7.35,6.9,-266.15,-266.45,Media,no
102070,-1.499998,261,9.2,5.89,6.4,-266.15,-268.05,Media,no
102050,-5.999999,300,11.8,5.84,5.6,-266.25,-274.25,Media,no
102080,-6.2,304,9.2,5.44,4.7,-266.15,-273.65,Moderada,no
102150,-6.399999,292,11.7,6.17,4.6,-266.25,-276.85,Moderada,no
102090,-2.9,291,9.4,6.41,3.8,-266.25,-276.15,Moderada,no
102040,-2.6,258,9.9,7.2,4,-266.25,-277.75,Moderada,yes
101950,-1.4,275,15.6,5.66,3.6,-266.25,-277.25,Moderada,yes
101860,-7.199998,284,9.8,6.53,1.1,-266.35,-279.85,Moderada,yes
101740,-6.499999,299,9.8,6.52,1.3,-266.35,-280.35,Moderada,yes
101620,-8.899999,339,6.1,6.85,1,-266.45,-280.55,Media,yes
101190,-8.599998,41,9,6.67,1.4,-266.35,-280.75,Media,yes
100740,-9.1,37,10.6,5.58,1.7,-266.45,-279.55,Media,yes
100100,-10.499998,41,12.5,4.74,1.4,-266.45,-278.45,Media,yes
99560,-15.599997,47,14.9,4.96,3,-266.45,-275.85,Moderada,no
98870,-17.9,29,18.9,6.01,2.7,-266.65,-276.05,MuyAlta,no
98530,-15.599998,10,18.5,6.57,3.1,-266.55,-275.15,Moderada,no
98990,-9.399999,342,15.2,6.47,3.4,-266.65,-275.35,Moderada,no
99580,-4.8,298,8.8,6.63,3,-266.55,-276.45,Moderada,no
99740,-3.599998,342,4.5,7.66,3,-266.65,-277.05,Moderada,no
99650,-4.199998,318,11.7,6.78,1.3,-266.65,-273.45,Moderada,no
100100,-0.2,257,16.1,6.87,1.2,-266.65,-275.85,Moderada,no
100500,2.4,226,11.9,6.5,-0.9,-266.75,-276.05,Moderada,no
100580,3.600002,243,13,7,-0.8,-266.75,-277.15,Moderada,no
100500,-1.799999,259,10.3,7.07,0.1,-266.65,-278.45,Moderada,yes
100590,-4.199997,295,9.3,7.07,-0.3,-266.75,-278.35,MuyAlta,yes
100800,-3.2,271,14.8,7.18,0.5,-266.75,-279.35,MuyAlta,yes
101150,-0.699998,278,16.5,6.86,1.9,-266.75,-279.05,Moderada,yes
101300,3.9,207,5.9,7.19,1.6,-266.85,-276.15,Media,no
101230,10.7,178,11.4,5.86,3.8,-266.75,-275.25,Media,no
101090,12.700002,148,13.1,5.18,4.7,-266.75,-271.55,Moderada,no
100850,12.100001,144,15.7,6.24,5.3,-266.75,-271.55,MuyAlta,no
100480,13.1,132,19.2,7.46,5.6,-266.75,-270.55,MuyAlta,no
100410,16.5,139,19.2,7.91,6.8,-266.75,-267.95,MuyAlta,no
100990,7.6,175,5.7,8.24,6.5,-266.75,-269.65,MuyAlta,no
101100,1.600003,110,4.2,8.08,6.5,-266.65,-268.15,Moderada,no
100850,-4.099997,56,7,8.18,6.2,-266.65,-267.65,Moderada,no
100360,-2.5,61,8.1,7.42,6.6,-266.65,-267.05,Media,no
99800,0.000002,103,9.4,6.5,6.9,-266.65,-266.65,Moderada,no
99860,10.100001,105,8.9,6.31,7,-266.85,-267.05,Moderada,no
100210,8.600001,189,12.7,6.4,6.8,-266.65,-267.15,Moderada,no
100100,3.5,135,9.9,6.99,7.1,-266.75,-267.05,Moderada,no
100110,2.100002,97,15,5.77,7,-266.85,-267.45,Moderada,no
100460,7.2,239,14.6,6.04,5.5,-266.75,-269.35,Moderada,no
100630,6.800002,211,10.2,6.71,6,-266.85,-271.05,Moderada,no
100490,5.8,124,8.2,6.95,6.3,-266.85,-268.55,Media,no
100270,5.400003,94,13.8,5.52,6.5,-266.95,-269.85,Moderada,no
100180,7.700003,122,8.7,6.04,6.4,-266.85,-269.05,Moderada,no
100040,2,108,8.8,6.39,6.6,-266.95,-267.65,Moderada,no
99530,-5.3,64,10.3,6.13,6.6,-266.95,-267.85,Moderada,no
99400,-3.799999,65,12.8,5.75,6.2,-266.95,-268.65,Moderada,no
99580,2.3,119,5.2,6.63,6.5,-266.85,-267.65,Media,no
99940,3.600002,73,1.5,6.3,5.9,-266.85,-268.85,Media,no
100330,3.500001,260,14.4,5.26,5.6,-266.85,-269.15,Media,no
100780,2.700001,236,8.9,5.68,5.9,-266.85,-269.85,Media,no
100890,4.000003,171,3.5,5.84,6.3,-266.75,-270.95,Baja,no
100910,1.3,110,7.2,6.11,6.6,-266.75,-267.75,Media,no
100770,3.6,100,9.7,4.97,6.6,-266.85,-267.75,Media,no
100870,-0.1,96,9.5,6.02,6.8,-266.85,-268.05,Moderada,no
100820,-1.9,85,10.4,6.77,6.8,-266.75,-268.75,Moderada,no
100810,-2.3,91,10.3,6.43,6.6,-266.85,-268.85,Moderada,no
100740,-0.899998,80,9.3,6.8,6.3,-266.85,-268.85,Media,no
100930,1.300002,73,8.3,6.6,6.6,-266.75,-268.35,Media,no
100940,3.600002,100,6.8,6.32,6.8,-266.75,-267.85,Media,no
101010,4.200002,152,4.2,6.56,6.2,-266.75,-267.85,Media,no
100900,3.600002,114,6.2,6.49,6.2,-266.85,-268.15,Media,no
100520,1.200003,111,11.1,4.94,6.7,-266.75,-269.95,Media,no
99940,4.1,100,15.4,5.2,6.9,-266.75,-268.55,MuyAlta,no
99530,5.200002,103,21.2,6.78,7,-266.55,-269.05,MuyAlta,no
99100,7.6,104,20.6,7.74,6.9,-266.65,-267.75,MuyAlta,no
99000,12.000002,138,13.4,7.63,7.1,-266.65,-266.95,Moderada,no
99160,13.9,150,12.9,6.6,7.5,-266.55,-267.65,Moderada,no
99260,15.300001,160,11.5,7.05,7,-266.65,-268.35,Moderada,no
99820,13.400002,177,13.7,7.09,6.8,-266.65,-268.65,Moderada,no
100440,10.1,194,10.8,7.17,6.7,-266.55,-269.45,Moderada,no
100740,9.000002,181,10.3,7.44,6.9,-266.55,-269.65,Moderada,no
100810,7.100001,178,8.4,8,6.6,-266.45,-269.05,Moderada,no
100820,7.6,192,9.7,6.81,5.9,-266.45,-270.85,Moderada,no
100770,7.3,182,8,7.09,6.1,-266.45,-270.95,Moderada,no
100360,8.8,146,10.2,6.53,6.7,-266.45,-269.55,Moderada,no
99660,10.8,134,17.6,6.27,6.8,-266.45,-269.35,MuyAlta,no
99230,8.5,126,18.1,6.85,6.3,-266.55,-268.75,Moderada,no
99020,6.7,123,10.6,7.54,6.6,-266.75,-267.05,Moderada,no
99150,11.600001,187,9,6.9,6.8,-266.65,-267.75,Moderada,no
99310,13.200002,181,11.3,7.71,6.7,-266.65,-268.75,Moderada,no
99730,11.6,183,10.7,7.41,6.5,-266.65,-269.55,Moderada,no
100120,8.3,193,11.2,7.5,6.3,-266.75,-269.65,Moderada,no
100330,6.6,184,10.3,7.5,6.7,-266.65,-269.95,Moderada,no
100230,6.000001,154,7.7,7.52,6.4,-266.65,-269.35,Moderada,no
100130,6.000001,157,4.5,7.68,6.1,-266.65,-269.65,Moderada,no
100010,6.9,103,3.7,7.84,5.2,-266.75,-271.35,Moderada,no
99950,7.5,163,5.2,7.84,6.5,-266.35,-270.95,Moderada,no
99810,5,136,6.2,7.72,6.5,-266.45,-269.75,Moderada,no
99920,0.700002,174,2.4,7.52,5.3,-266.55,-270.05,Moderada,no
100230,-1.399998,181,3.1,7.71,6.3,-266.45,-270.65,Media,no
100830,-0.199997,278,10.3,7.62,5.7,-266.35,-269.95,Media,no
101210,0.300002,273,7.1,5.99,5.6,-266.55,-270.35,Moderada,no
101160,8.200002,228,6.9,6.66,5.5,-266.55,-272.35,Media,no
100990,10.600003,152,11.7,5.36,6.1,-266.55,-269.25,Media,no
100480,11.200002,132,13.4,5.45,6.5,-266.55,-267.95,Media,no
100300,11.6,200,10.1,5.54,5,-266.55,-271.15,Moderada,no
100260,10.2,144,14.6,6.56,6.1,-266.35,-270.95,Moderada,no
100390,7.100003,140,13.1,6.7,5.4,-266.45,-271.15,Moderada,no
100580,2.800003,121,8.8,7.27,6.3,-266.25,-270.85,Moderada,no
100820,-2.299999,68,7.8,7.61,6.4,-266.25,-270.65,Media,no
101070,-6.799998,58,11.7,6.59,5.5,-266.35,-270.85,Media,no
101210,-10.9,17,8.5,5.67,6.1,-266.35,-269.95,Media,no
101380,-11.399999,21,9.8,5.76,5.8,-266.25,-270.25,Media,no
101550,-10.799998,7,8.5,5.42,6.3,-266.25,-269.85,Media,no
101610,-8.399999,335,7.4,5.84,5.9,-266.35,-270.55,Media,no
101680,-6.599998,300,5.3,5.68,5.8,-266.35,-270.85,Baja,no
101660,-0.299998,316,4.3,5.61,6.2,-265.95,-271.65,Baja,no
101490,3.2,134,4.2,5.85,6.2,-266.15,-272.95,Baja,no
101200,3.700001,145,4.5,5.81,5.6,-266.15,-271.75,Baja,no
101120,2.300002,153,5,5.69,5.7,-266.25,-270.75,Baja,no
101200,0.300002,178,8.2,4.48,6.1,-266.25,-271.75,Media,no
101320,2.200001,183,9.2,6.18,6.1,-266.45,-269.45,Media,no
101190,4.800002,253,5.5,6.45,5.7,-266.45,-268.65,Media,no
100990,8.100001,206,8.7,5.39,5.8,-266.45,-272.65,Media,no
100730,9.800001,197,9.1,4.79,6.6,-266.35,-267.95,Media,no
100340,13.800003,172,12.9,5.2,6.4,-266.35,-267.95,Moderada,no
99980,13.9,163,18.2,5.88,6.7,-266.45,-268.05,Moderada,no
100310,3.9,222,8.8,7.06,6.2,-266.45,-271.65,Moderada,no
100280,4.400003,227,7.4,7.08,6.3,-266.25,-271.45,Moderada,no
100460,-1.6,218,5.1,7.27,5.9,-266.45,-272.05,Moderada,no
100520,0.1,213,5.9,7.43,5.3,-266.45,-271.75,Moderada,no
100780,-1.299999,240,10.6,7.09,5.3,-266.55,-272.75,Media,no
100930,0.1,218,7,6.66,6,-266.35,-273.15,Media,no
100600,2.100002,179,7.3,7.13,5.7,-266.45,-273.25,Media,no
99780,9.400002,180,13.8,5.91,5,-266.45,-272.75,Moderada,no
99030,13.9,170,16.5,5.79,5.2,-266.55,-270.55,Moderada,no
98980,5.800003,232,11.4,6.42,5.9,-266.55,-272.35,Moderada,no
98930,6.100001,226,9.3,6.88,4.4,-266.55,-272.65,Moderada,no
98970,5.100001,258,11.3,6.57,3.6,-266.65,-273.15,Moderada,no
98970,4.700002,241,12.5,7.5,4,-266.65,-272.05,MuyAlta,no
98980,4.9,241,14.2,7.79,4.6,-266.55,-273.85,MuyAlta,no
99080,4.500003,239,9.8,7.82,4.3,-266.65,-272.55,MuyAlta,no
99130,3.700001,243,15.8,8.78,4.1,-266.65,-271.35,MuyAlta,no
99520,1.900003,260,16.4,7.86,4.1,-266.65,-271.65,MuyAlta,no
100020,3.9,268,19,8.11,4.3,-266.65,-274.65,MuyAlta,no
100150,5.8,233,7.2,7.95,2.6,-266.65,-273.75,Moderada,no
100240,5.600001,240,10.7,7.57,3.8,-266.75,-276.45,Moderada,no
100440,4.3,236,8.5,7.13,2.9,-266.65,-275.15,Media,no
100530,5.200002,207,7.1,6.37,4.1,-266.65,-274.75,Media,no
100330,5.1,113,4.9,6.71,4.2,-266.65,-273.75,Media,no
100320,2.9,108,11.8,5.25,3.5,-266.65,-272.95,Media,no
100280,-0.099998,308,2.1,6.3,2,-266.65,-273.15,Media,no
100590,-2.899998,16,5.9,5.98,5.2,-266.55,-274.05,Media,no
100800,0.800002,236,3.4,6.61,4.8,-266.35,-273.85,Media,no
100660,11.600003,189,10.1,6.53,4.8,-266.45,-274.05,Moderada,no
99670,17.300001,141,21.1,5.14,5.3,-266.45,-270.05,MuyAlta,no
99580,10.6,206,11.8,7.49,6.7,-266.55,-270.05,Moderada,no
99730,11.500003,187,12.6,7.24,6.5,-266.35,-269.25,MuyAlta,no
99650,13.400002,190,15.1,7.37,5.9,-266.35,-269.95,MuyAlta,no
99930,12.400002,209,13.7,8.06,6.5,-266.45,-269.85,MuyAlta,no
100380,11.500002,214,14,8.99,6.7,-266.25,-269.65,MuyAlta,no
100840,10.600003,218,13.6,8.22,6,-266.35,-270.35,MuyAlta,no
101300,9.7,230,14.5,7.97,5.5,-266.45,-271.15,Moderada,no
101490,7.5,201,10.4,7.21,5.8,-266.45,-271.35,Moderada,no
101660,7.6,211,11.4,7.3,5.3,-266.35,-272.65,Moderada,no
101750,6.1,219,8.8,6.81,5.1,-266.35,-271.95,Moderada,no
102000,4.600001,212,8,6.48,4.7,-266.45,-273.05,Media,no
102140,10.500002,171,10.6,5.86,5.7,-266.35,-272.55,Moderada,no
101820,16.799999,155,16.2,5.51,6.6,-266.45,-271.15,MuyAlta,no
101240,18.799999,156,23.2,6.36,6.4,-266.45,-268.65,MuyAlta,no
101110,17.900003,171,16.1,8.18,7.4,-266.55,-266.45,MuyAlta,no
101190,13.400002,166,13.3,8.48,7.4,-266.55,-266.35,MuyAlta,no
101060,13.700003,158,13.9,7.73,7.6,-266.35,-266.05,MuyAlta,no
100730,13.000003,158,10.4,7.97,7.2,-266.45,-266.35,Moderada,no
100970,10.300001,207,11.4,7.11,7.3,-266.45,-266.25,MuyAlta,no
101390,6.700002,177,9.5,7.76,7.1,-266.35,-269.05,Moderada,no
101330,5.900003,174,7.8,7.17,7.1,-266.25,-268.45,Moderada,no
101100,2.400003,179,5.6,7.63,6.5,-266.35,-268.25,Moderada,no
100950,2.4,214,5.9,8.39,6.1,-266.35,-271.15,Moderada,no
101100,2.6,241,6.1,7.98,5.4,-266.35,-271.65,Moderada,no
101410,-1.2,280,8.4,7.56,4.4,-266.15,-271.55,Moderada,no
101730,-3.5,323,9.6,6.21,4.5,-266.35,-271.95,Moderada,no
102090,-2.9,293,9.9,6.46,5.3,-266.35,-275.05,Moderada,no
102350,1.300002,258,6.4,6.6,5.2,-266.25,-275.65,Media,no
102290,6.500003,188,7.2,6.33,5.2,-266.15,-275.55,Media,no
101720,9.2,148,13.7,5.23,5.6,-266.25,-273.55,Moderada,no
100600,12.100001,136,18.6,5.39,5.7,-266.35,-272.45,MuyAlta,no
99910,7.500001,110,22.6,7.16,5.2,-266.45,-269.75,MuyAlta,no
99830,1.1,91,19.8,7.46,5.6,-266.45,-269.75,MuyAlta,no
100270,-7.499999,67,16.5,7.39,6.5,-266.45,-269.55,MuyAlta,no
100790,-9.099998,41,11.3,7.49,7,-266.35,-271.05,Moderada,no
101220,-8.2,12,9.1,7.09,6.9,-266.35,-271.05,Moderada,no
101210,-6.399999,346,6.9,6.71,6.8,-266.15,-272.45,Media,no
101200,-5.799998,355,5.2,6.15,6.2,-266.15,-272.15,Media,no
101140,-2.299999,306,4.2,6.75,5.6,-266.25,-273.35,Media,no
101170,-0.2,245,1.8,6.79,5.8,-266.15,-273.15,Baja,no
101160,1.700001,177,4.2,7.14,6.6,-265.55,-271.65,Baja,no
101100,2.000001,155,6.9,6.21,6.8,-265.85,-271.75,Media,no
100880,4.000001,161,5.6,6.48,6.3,-266.05,-269.85,Media,no
100360,3.100002,104,12.2,4.86,6.5,-266.05,-270.15,Media,no
99390,3.700001,96,15.5,5.12,6.9,-266.05,-269.15,MuyAlta,no
98480,4.9,99,21.9,7.26,6.5,-266.15,-268.55,MuyAlta,no
98440,9.200002,128,17.4,7.22,6.5,-266.15,-268.15,MuyAlta,no
98820,14.300003,156,16.6,7.07,6.4,-266.15,-269.35,Moderada,no
99260,16.500004,166,14,6.66,6,-266.05,-270.15,Moderada,no
99460,16.600002,145,13.2,6.78,5.7,-266.05,-270.45,MuyAlta,no
99400,13.6,131,15.9,6.73,6.8,-266.15,-269.85,MuyAlta,no
99350,9.7,136,11.5,7.2,6.8,-266.15,-268.25,Moderada,no
99330,10.1,120,11.5,6.68,7.3,-266.05,-268.15,Moderada,no
99180,6.1,107,12.6,6.71,7.1,-266.05,-267.85,Moderada,no
99010,-1.4,81,8,6.11,6.8,-266.05,-269.05,Media,no
99390,-4,23,4.2,6.5,6.9,-266.15,-269.85,Media,no
100020,-2.8,300,3.4,6.52,7.4,-265.45,-269.65,Media,no
100490,-1.6,253,4.4,6.15,7.3,-265.55,-269.05,Media,no
100590,4.800002,175,4.9,6.97,7,-265.85,-270.65,Media,no
100300,6.500001,170,7.6,5.95,6.7,-265.95,-269.55,Media,no
100380,3.5,124,4.9,6.04,5.6,-265.85,-270.15,Media,no
100570,3.100002,134,7.4,5.36,5.8,-265.95,-268.85,Moderada,no
100610,5.8,229,8.8,6.68,6.6,-265.95,-269.25,Moderada,no
100530,5.5,240,9.9,6.52,5.7,-266.05,-269.65,Moderada,no
100740,3.300002,259,10.3,6.43,6.8,-265.95,-269.75,Moderada,no
100890,-1.299999,285,6.4,7.02,6.6,-266.05,-268.95,Moderada,no
101350,-3.599998,278,6.8,7.57,7.1,-266.05,-271.15,Moderada,no
101740,-2.099998,333,6.6,7.25,7.2,-266.05,-270.25,Media,no
102070,-0.7,307,6.2,7.07,7.4,-265.85,-268.95,Media,no
102240,-0.599998,257,2.6,6.57,7.1,-265.85,-268.05,Media,no
102190,1.900002,189,4.7,6.59,6.4,-265.85,-270.05,Baja,no
102030,3.3,118,6.3,6.38,6.8,-265.85,-269.35,Baja,no
101770,4.700002,114,7.5,4.98,7,-265.75,-269.55,Media,no
101480,3.300002,113,10.4,4.67,7.4,-265.85,-270.35,Media,no
101320,-0.6,92,11.9,5.06,7.3,-265.85,-269.65,Media,no
101310,-4.199998,79,11.5,5.22,7.3,-265.75,-268.85,Moderada,no
101310,-6.8,59,11.1,6.4,7.6,-265.65,-268.75,Media,no
101330,-9.499997,46,9,5.81,7.7,-265.65,-268.05,Media,no
101410,-9.399999,14,8.5,5.67,7.4,-265.65,-267.25,Media,no
101620,-9.499998,358,9.8,5.07,7.6,-265.65,-267.15,Media,no
101800,-7.599998,346,8.2,4.77,7.8,-265.65,-267.45,Baja,no
101930,-5.899999,336,6.4,4.8,7.5,-265.65,-267.25,Baja,no
102070,-5.3,351,3.9,4.69,7.3,-265.65,-267.35,Baja,no
102280,-0.999998,65,1.1,5.31,7.6,-265.55,-267.15,Baja,no
102420,2.600002,143,2.5,6.32,9,-263.85,-269.25,Baja,no
102390,5.400002,135,5.5,5.8,8.4,-265.15,-268.25,Baja,no
102130,7.400002,139,6.8,3.98,8,-265.45,-267.25,Baja,no
101870,8.700002,134,11,4.15,7.9,-265.55,-266.95,Moderada,no
101550,10.300001,131,15.1,5.17,7.7,-265.45,-266.45,Media,no
101460,9.000002,173,8.5,5.64,7.8,-265.65,-265.85,Media,no
101490,5.700002,235,9.2,5.34,6.8,-265.45,-266.65,Media,no
101700,4,187,7,5.61,6.7,-265.35,-267.85,Media,no
